Region,Date,Highest-priced hour,Lowest-priced hour
NSW,2017-05-11,17,9
NSW,2017-05-12,17,20
NSW,2017-05-13,17,1
NSW,2017-05-14,11,23
NSW,2017-05-15,17,0
NSW,2017-05-16,6,11
NSW,2017-05-17,7,3
NSW,2017-05-18,6,0
NSW,2017-05-19,10,4
NSW,2017-05-20,9,21
NSW,2017-05-21,17,12
NSW,2017-05-22,17,1
NSW,2017-05-23,6,15
NSW,2017-05-24,22,3
NSW,2017-05-25,6,0
NSW,2017-05-26,6,0
NSW,2017-05-27,17,3
NSW,2017-05-28,15,3
NSW,2017-05-29,17,5
NSW,2017-05-30,6,3
NSW,2017-05-31,6,13
NSW,2017-06-01,18,1
NSW,2017-06-02,6,1
NSW,2017-06-03,17,12
NSW,2017-06-04,17,23
NSW,2017-06-05,6,0
NSW,2017-06-06,17,3
NSW,2017-06-07,6,2
NSW,2017-06-08,6,0
NSW,2017-06-09,22,0
NSW,2017-06-10,17,1
NSW,2017-06-11,9,23
NSW,2017-06-12,17,0
NSW,2017-06-13,7,0
NSW,2017-06-14,6,5
NSW,2017-06-15,6,11
NSW,2017-06-16,7,4
NSW,2017-06-17,9,21
NSW,2017-06-18,17,0
NSW,2017-06-19,17,11
NSW,2017-06-20,18,3
NSW,2017-06-21,6,0
NSW,2017-06-22,18,5
NSW,2017-06-23,7,4
NSW,2017-06-24,18,0
NSW,2017-06-25,17,12
NSW,2017-06-26,17,5
NSW,2017-06-27,9,23
NSW,2017-06-28,17,3
NSW,2017-06-29,17,0
NSW,2017-06-30,7,5
NSW,2017-07-01,18,13
NSW,2017-07-02,17,1
NSW,2017-07-03,13,23
NSW,2017-07-04,17,5
NSW,2017-07-05,17,5
NSW,2017-07-06,17,2
NSW,2017-07-07,9,12
NSW,2017-07-08,8,5
NSW,2017-07-09,17,0
NSW,2017-07-10,8,5
NSW,2017-07-11,17,15
NSW,2017-07-12,17,23
